"IBaseEmitter [m]","VCollector []","Inegative(IC) [mA]"
2.5,3.8,250.00000000001
2.5,3.9,250.00000000001
2.5,4,250.00000000001
2.5,4.1,250.00000000001
2.5,4.2,250.00000000001
2.5,4.3,250.00000000001
2.5,4.4,250.00000000001
2.5,4.5,250.00000000001
2.5,4.6,250.00000000001
2.5,4.7,250.00000000001
2.5,4.8,250.00000000001
2.5,4.9,250.00000000001
2.5,5,250.00000000001
2.5,5.1,250.00000000001
2.5,5.2,250.00000000001
2.5,5.3,250.00000000001
2.5,5.4,250.00000000001
2.5,5.5,250.00000000001
2.5,5.6,250.00000000001
2.5,5.7,250.00000000001
2.5,5.8,250.00000000001
2.5,5.9,250.00000000001
2.5,6,250.00000000001
2.5,6.1,250.00000000001
2.5,6.2,250.00000000001
2.5,6.3,250.00000000001
2.5,6.4,250.00000000001
2.5,6.5,250.00000000001
2.5,6.6,250.00000000001
2.5,6.7,250.00000000001
2.5,6.8,250.00000000001
2.5,6.9,250.00000000001
2.5,7,250.00000000001
2.5,7.1,250.00000000001
2.5,7.2,250.00000000001
2.5,7.3,250.00000000001
2.5,7.4,250.00000000001
2.5,7.5,250.00000000001
2.5,7.6,250.00000000001
2.5,7.7,250.00000000001
2.5,7.8,250.00000000001
2.5,7.9,250.00000000001
2.5,8,250.00000000001
2.5,8.1,250.00000000001
2.5,8.2,250.00000000001
2.5,8.3,250.00000000001
2.5,8.4,250.00000000001
2.5,8.5,250.00000000001
2.5,8.6,250.00000000001
2.5,8.7,250.00000000001
2.5,8.8,250.00000000001
2.5,8.9,250.00000000001
2.5,9,250.00000000001
2.5,9.1,250.00000000001
2.5,9.2,250.00000000001
2.5,9.3,250.00000000001
2.5,9.4,250.00000000001
2.5,9.5,250.00000000001
2.5,9.6,250.00000000001
2.5,9.7,250.00000000001
2.5,9.8,250.00000000001
2.5,9.9,250.00000000001
2.5,10,250.00000000001
3,0,-2.64532470280644
3,0.1,31.9273117935967
3,0.2,98.5393261531167
3,0.3,172.901377395022
3,0.4,243.517130973415
3,0.5,291.214546712248
3,0.6,299.743071189335
3,0.7,299.994702981024
3,0.8,299.999891924248
3,0.9,299.999997795398
3,1,299.999999955039
3,1.1,299.999999999093
3,1.2,299.999999999991
3,1.3,300.00000000001
3,1.4,300.00000000001
3,1.5,300.00000000001
3,1.6,300.00000000001
3,1.7,300.00000000001
3,1.8,300.00000000001
3,1.9,300.00000000001
3,2,300.00000000001
3,2.1,300.00000000001
3,2.2,300.00000000001
3,2.3,300.00000000001
3,2.4,300.00000000001
3,2.5,300.00000000001
3,2.6,300.00000000001
3,2.7,300.00000000001
3,2.8,300.00000000001
3,2.9,300.00000000001
3,3,300.00000000001
3,3.1,300.00000000001
3,3.2,300.00000000001
3,3.3,300.00000000001
3,3.4,300.00000000001
3,3.5,300.00000000001
3,3.6,300.00000000001
3,3.7,300.00000000001
3,3.8,300.00000000001
3,3.9,300.00000000001
3,4,300.00000000001
3,4.1,300.00000000001
3,4.2,300.00000000001
3,4.3,300.00000000001
3,4.4,300.00000000001
3,4.5,300.00000000001
3,4.6,300.00000000001
3,4.7,300.00000000001
3,4.8,300.00000000001
3,4.9,300.00000000001
3,5,300.00000000001
3,5.1,300.00000000001
3,5.2,300.00000000001
3,5.3,300.00000000001
3,5.4,300.00000000001
3,5.5,300.00000000001
3,5.6,300.00000000001
3,5.7,300.00000000001
3,5.8,300.00000000001
3,5.9,300.00000000001
3,6,300.00000000001
3,6.1,300.00000000001
3,6.2,300.00000000001
3,6.3,300.00000000001
3,6.4,300.00000000001
3,6.5,300.00000000001
3,6.6,300.00000000001
3,6.7,300.00000000001
3,6.8,300.00000000001
3,6.9,300.00000000001
3,7,300.00000000001
3,7.1,300.00000000001
3,7.2,300.00000000001
3,7.3,300.00000000001
3,7.4,300.00000000001
3,7.5,300.00000000001
3,7.6,300.00000000001
3,7.7,300.00000000001
3,7.8,300.00000000001
3,7.9,300.00000000001
3,8,300.00000000001
3,8.1,300.00000000001
3,8.2,300.00000000001
3,8.3,300.00000000001
3,8.4,300.00000000001
3,8.5,300.00000000001
3,8.6,300.00000000001
3,8.7,300.00000000001
3,8.8,300.00000000001
3,8.9,300.00000000001
3,9,300.00000000001
3,9.1,300.00000000001
3,9.2,300.00000000001
3,9.3,300.00000000001
3,9.4,300.00000000001
3,9.5,300.00000000001
3,9.6,300.00000000001
3,9.7,300.00000000001
3,9.8,300.00000000001
3,9.9,300.00000000001
3,10,300.00000000001
3.5,0,-3.02811634246228
3.5,0.1,34.0889141627278
3.5,0.2,102.601635459633
3.5,0.3,179.407041416384
3.5,0.4,255.453695910484
3.5,0.5,320.161549836276
3.5,0.6,348.044609484945
3.5,0.7,349.956799213122
3.5,0.8,349.999117216269
3.5,0.9,349.999981991502
3.5,1,349.99999963266
3.5,1.1,349.999999992517
3.5,1.2,349.999999999857
3.5,1.3,350.000000000007
3.5,1.4,350.00000000001
3.5,1.5,350.00000000001
3.5,1.6,350.00000000001
3.5,1.7,350.00000000001
3.5,1.8,350.00000000001
3.5,1.9,350.00000000001
3.5,2,350.00000000001
3.5,2.1,350.00000000001
3.5,2.2,350.00000000001
3.5,2.3,350.00000000001
3.5,2.4,350.00000000001
3.5,2.5,350.00000000001
3.5,2.6,350.00000000001
3.5,2.7,350.00000000001
3.5,2.8,350.00000000001
3.5,2.9,350.00000000001
3.5,3,350.00000000001
3.5,3.1,350.00000000001
3.5,3.2,350.00000000001
3.5,3.3,350.00000000001
3.5,3.4,350.00000000001
3.5,3.5,350.00000000001
3.5,3.6,350.00000000001
3.5,3.7,350.00000000001
3.5,3.8,350.00000000001
3.5,3.9,350.00000000001
3.5,4,350.00000000001
3.5,4.1,350.00000000001
3.5,4.2,350.00000000001
3.5,4.3,350.00000000001
3.5,4.4,350.00000000001
3.5,4.5,350.00000000001
3.5,4.6,350.00000000001
3.5,4.7,350.00000000001
3.5,4.8,350.00000000001
3.5,4.9,350.00000000001
3.5,5,350.00000000001
3.5,5.1,350.00000000001
3.5,5.2,350.00000000001
3.5,5.3,350.00000000001
3.5,5.4,350.00000000001
3.5,5.5,350.00000000001
3.5,5.6,350.00000000001
3.5,5.7,350.00000000001
3.5,5.8,350.00000000001
3.5,5.9,350.00000000001
3.5,6,350.00000000001
3.5,6.1,350.00000000001
3.5,6.2,350.00000000001
3.5,6.3,350.00000000001
3.5,6.4,350.00000000001
3.5,6.5,350.00000000001
3.5,6.6,350.00000000001
3.5,6.7,350.00000000001
3.5,6.8,350.00000000001
3.5,6.9,350.00000000001
3.5,7,350.00000000001
3.5,7.1,350.00000000001
3.5,7.2,350.00000000001
3.5,7.3,350.00000000001
3.5,7.4,350.00000000001
3.5,7.5,350.00000000001
3.5,7.6,350.00000000001
3.5,7.7,350.00000000001
3.5,7.8,350.00000000001
3.5,7.9,350.00000000001
3.5,8,350.00000000001
3.5,8.1,350.00000000001
3.5,8.2,350.00000000001
3.5,8.3,350.00000000001
3.5,8.4,350.00000000001
3.5,8.5,350.00000000001
3.5,8.6,350.00000000001
3.5,8.7,350.00000000001
3.5,8.8,350.00000000001
3.5,8.9,350.00000000001
3.5,9,350.00000000001
3.5,9.1,350.00000000001
3.5,9.2,350.00000000001
3.5,9.3,350.00000000001
3.5,9.4,350.00000000001
3.5,9.5,350.00000000001
3.5,9.6,350.00000000001
3.5,9.7,350.00000000001
3.5,9.8,350.00000000001
3.5,9.9,350.00000000001
3.5,10,350.00000000001
4,0,-3.39598044920841
4,0.1,35.9822498093525
4,0.2,106.018782628127
4,0.3,184.567365031141
4,0.4,263.903728556041
4,0.5,337.672342096469
4,0.6,389.161716493857
4,0.7,399.658558130114
4,0.8,399.992937793254
4,0.9,399.999855899218
4,1,399.999997060528
4,1.1,399.999999940049
4,1.2,399.999999998787
4,1.3,399.999999999985
4,1.4,400.00000000001
4,1.5,400.00000000001
4,1.6,400.00000000001
4,1.7,400.00000000001
4,1.8,400.00000000001
4,1.9,400.00000000001
4,2,400.00000000001
4,2.1,400.00000000001
4,2.2,400.00000000001
4,2.3,400.00000000001
4,2.4,400.00000000001
4,2.5,400.00000000001
4,2.6,400.00000000001
4,2.7,400.00000000001
4,2.8,400.00000000001
4,2.9,400.00000000001
4,3,400.00000000001
4,3.1,400.00000000001
4,3.2,400.00000000001
4,3.3,400.00000000001
4,3.4,400.00000000001
4,3.5,400.00000000001
4,3.6,400.00000000001
4,3.7,400.00000000001
4,3.8,400.00000000001
4,3.9,400.00000000001
4,4,400.00000000001
4,4.1,400.00000000001
4,4.2,400.00000000001
4,4.3,400.00000000001
4,4.4,400.00000000001
4,4.5,400.00000000001
4,4.6,400.00000000001
4,4.7,400.00000000001
4,4.8,400.00000000001
4,4.9,400.00000000001
4,5,400.00000000001
4,5.1,400.00000000001
4,5.2,400.00000000001
4,5.3,400.00000000001
4,5.4,400.00000000001
4,5.5,400.00000000001
4,5.6,400.00000000001
4,5.7,400.00000000001
4,5.8,400.00000000001
4,5.9,400.00000000001
4,6,400.00000000001
4,6.1,400.00000000001
4,6.2,400.00000000001
4,6.3,400.00000000001
4,6.4,400.00000000001
4,6.5,400.00000000001
4,6.6,400.00000000001
4,6.7,400.00000000001
4,6.8,400.00000000001
4,6.9,400.00000000001
4,7,400.00000000001
4,7.1,400.00000000001
4,7.2,400.00000000001
4,7.3,400.00000000001
4,7.4,400.00000000001
4,7.5,400.00000000001
4,7.6,400.00000000001
4,7.7,400.00000000001
4,7.8,400.00000000001
4,7.9,400.00000000001
4,8,400.00000000001
4,8.1,400.00000000001
4,8.2,400.00000000001
4,8.3,400.00000000001
4,8.4,400.00000000001
4,8.5,400.00000000001
4,8.6,400.00000000001
4,8.7,400.00000000001
4,8.8,400.00000000001
4,8.9,400.00000000001
4,9,400.00000000001
4,9.1,400.00000000001
4,9.2,400.00000000001
4,9.3,400.00000000001
4,9.4,400.00000000001
4,9.5,400.00000000001
4,9.6,400.00000000001
4,9.7,400.00000000001
4,9.8,400.00000000001
4,9.9,400.00000000001
4,10,400.00000000001
4.5,0,-3.74953004434716
4.5,0.1,37.6638492213776
4.5,0.2,108.960415650003
4.5,0.3,188.822622516349
4.5,0.4,270.344243386423
4.5,0.5,349.131119291777
4.5,0.6,416.436067394268
4.5,0.7,447.535034549557
4.5,0.8,449.944482749201
4.5,0.9,449.99886501289
4.5,1,449.999976846219
4.5,1.1,449.999999527703
4.5,1.2,449.999999990376
4.5,1.3,449.999999999814
4.5,1.4,450.000000000006
4.5,1.5,450.00000000001
4.5,1.6,450.00000000001
4.5,1.7,450.00000000001
4.5,1.8,450.00000000001
4.5,1.9,450.00000000001
4.5,2,450.00000000001
4.5,2.1,450.00000000001
4.5,2.2,450.00000000001
4.5,2.3,450.00000000001
4.5,2.4,450.00000000001
4.5,2.5,450.00000000001
4.5,2.6,450.00000000001
4.5,2.7,450.00000000001
4.5,2.8,450.00000000001
4.5,2.9,450.00000000001
4.5,3,450.00000000001
4.5,3.1,450.00000000001
4.5,3.2,450.00000000001
4.5,3.3,450.00000000001
4.5,3.4,450.00000000001
4.5,3.5,450.00000000001
4.5,3.6,450.00000000001
4.5,3.7,450.00000000001
4.5,3.8,450.00000000001
4.5,3.9,450.00000000001
4.5,4,450.00000000001
4.5,4.1,450.00000000001
4.5,4.2,450.00000000001
4.5,4.3,450.00000000001
4.5,4.4,450.00000000001
4.5,4.5,450.00000000001
4.5,4.6,450.00000000001
4.5,4.7,450.00000000001
4.5,4.8,450.00000000001
4.5,4.9,450.00000000001
4.5,5,450.00000000001
4.5,5.1,450.00000000001
4.5,5.2,450.00000000001
4.5,5.3,450.00000000001
4.5,5.4,450.00000000001
4.5,5.5,450.00000000001
4.5,5.6,450.00000000001
4.5,5.7,450.00000000001
4.5,5.8,450.00000000001
4.5,5.9,450.00000000001
4.5,6,450.00000000001
4.5,6.1,450.00000000001
4.5,6.2,450.00000000001
4.5,6.3,450.00000000001
4.5,6.4,450.00000000001
4.5,6.5,450.00000000001
4.5,6.6,450.00000000001
4.5,6.7,450.00000000001
4.5,6.8,450.00000000001
4.5,6.9,450.00000000001
4.5,7,450.00000000001
4.5,7.1,450.00000000001
4.5,7.2,450.00000000001
4.5,7.3,450.00000000001
4.5,7.4,450.00000000001
4.5,7.5,450.00000000001
4.5,7.6,450.00000000001
4.5,7.7,450.00000000001
4.5,7.8,450.00000000001
4.5,7.9,450.00000000001
4.5,8,450.00000000001
4.5,8.1,450.00000000001
4.5,8.2,450.00000000001
4.5,8.3,450.00000000001
4.5,8.4,450.00000000001
4.5,8.5,450.00000000001
4.5,8.6,450.00000000001
4.5,8.7,450.00000000001
4.5,8.8,450.00000000001
4.5,8.9,450.00000000001
4.5,9,450.00000000001
4.5,9.1,450.00000000001
4.5,9.2,450.00000000001
4.5,9.3,450.00000000001
4.5,9.4,450.00000000001
4.5,9.5,450.00000000001
4.5,9.6,450.00000000001
4.5,9.7,450.00000000001
4.5,9.8,450.00000000001
4.5,9.9,450.00000000001
4.5,10,450.00000000001
5,0,-4.08936558122391
5,0.1,39.1741131792577
5,0.2,111.537820373255
5,0.3,192.43148823638
5,0.4,275.507662389389
5,0.5,357.375868846035
5,0.6,433.108162908118
5,0.7,487.351160478762
5,0.8,499.5746009298
5,0.9,499.991172847972
5,1,499.999819874306
5,1.1,499.999996325657
5,1.2,499.999999925058
5,1.3,499.999999998481
5,1.4,499.999999999979
5,1.5,500.00000000001
5,1.6,500.00000000001
5,1.7,500.00000000001
5,1.8,500.00000000001
5,1.9,500.00000000001
5,2,500.00000000001
5,2.1,500.00000000001
5,2.2,500.00000000001
5,2.3,500.00000000001
5,2.4,500.00000000001
5,2.5,500.00000000001
5,2.6,500.00000000001
5,2.7,500.00000000001
5,2.8,500.00000000001
5,2.9,500.00000000001
5,3,500.00000000001
5,3.1,500.00000000001
5,3.2,500.00000000001
5,3.3,500.00000000001
5,3.4,500.00000000001
5,3.5,500.00000000001
5,3.6,500.00000000001
5,3.7,500.00000000001
5,3.8,500.00000000001
5,3.9,500.00000000001
5,4,500.00000000001
5,4.1,500.00000000001
5,4.2,500.00000000001
5,4.3,500.00000000001
5,4.4,500.00000000001
5,4.5,500.00000000001
5,4.6,500.00000000001
5,4.7,500.00000000001
5,4.8,500.00000000001
5,4.9,500.00000000001
5,5,500.00000000001
5,5.1,500.00000000001
5,5.2,500.00000000001
5,5.3,500.00000000001
5,5.4,500.00000000001
5,5.5,500.00000000001
5,5.6,500.00000000001
5,5.7,500.00000000001
5,5.8,500.00000000001
5,5.9,500.00000000001
5,6,500.00000000001
5,6.1,500.00000000001
5,6.2,500.00000000001
5,6.3,500.00000000001
5,6.4,500.00000000001
5,6.5,500.00000000001
5,6.6,500.00000000001
5,6.7,500.00000000001
5,6.8,500.00000000001
5,6.9,500.00000000001
5,7,500.00000000001
5,7.1,500.00000000001
5,7.2,500.00000000001
5,7.3,500.00000000001
5,7.4,500.00000000001
5,7.5,500.00000000001
5,7.6,500.00000000001
5,7.7,500.00000000001
5,7.8,500.00000000001
5,7.9,500.00000000001
5,8,500.00000000001
5,8.1,500.00000000001
5,8.2,500.00000000001
5,8.3,500.00000000001
5,8.4,500.00000000001
5,8.5,500.00000000001
5,8.6,500.00000000001
5,8.7,500.00000000001
5,8.8,500.00000000001
5,8.9,500.00000000001
5,9,500.00000000001
5,9.1,500.00000000001
5,9.2,500.00000000001
5,9.3,500.00000000001
5,9.4,500.00000000001
5,9.5,500.00000000001
5,9.6,500.00000000001
5,9.7,500.00000000001
5,9.8,500.00000000001
5,9.9,500.00000000001
5,10,500.00000000001
